"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,2.00,71880.00,288.00,284.00,465.00,100.00,235.00,151.00,81.00,"United Air Lines Inc.","UA","DTW","ORD",6,"694",1,1996,3,7,1,"F",
0.00,2.00,33128.00,136.00,96.00,200.00,445.00,453.00,159.00,129.00,"US Airways Inc.","US","DTW","PHL",6,"602",1,1996,3,7,1,"F",
0.00,1.00,28762.00,128.00,69.00,0.00,300.00,453.00,196.00,172.00,"Continental Air Lines Inc.","CO","DTW","PHL",6,"619",1,1996,3,7,1,"F",
0.00,1.00,32460.00,132.00,109.00,0.00,0.00,1671.00,252.00,234.00,"America West Airlines Inc.","HP","DTW","PHX",6,"619",1,1996,3,7,4,"F",
0.00,4.00,62833.00,189.00,64.00,10205.00,2123.00,503.00,401.00,377.00,"Reeve Aleutian Airways Inc.","RV","DUT","AKN",5,"550",3,1996,3,7,2,"F",
0.00,42.00,1197220.00,2326.00,1063.00,137402.00,17626.00,792.00,4729.00,4336.00,"Alaska Airlines Inc.","AS","DUT","ANC",6,"621",3,1996,3,7,2,"F",
0.00,1.00,1000.00,3.00,1.00,50.00,54.00,2033.00,43.00,39.00,"Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","3K","EAA","COA",0,"035",1,1996,3,7,5,"F",
0.00,3.00,3000.00,9.00,2.00,0.00,64.00,198.00,90.00,86.00,"Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","3K","EAA","FAI",0,"035",1,1996,3,7,1,"F",
0.00,1.00,1000.00,5.00,0.00,0.00,104.00,170.00,62.00,58.00,"Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","3K","EAA","FYU",0,"079",1,1996,3,7,1,"F",
0.00,1.00,27740.00,128.00,89.00,0.00,0.00,28.00,19.00,10.00,"Continental Air Lines Inc.","CO","EFD","IAH",6,"619",1,1996,3,7,1,"F",
0.00,1.00,30366.00,141.00,131.00,2580.00,0.00,28.00,27.00,11.00,"Continental Air Lines Inc.","CO","EFD","IAH",6,"655",1,1996,3,7,1,"F",
0.00,1.00,23850.00,98.00,57.00,0.00,0.00,32.00,22.00,11.00,"US Airways Inc.","US","ELM","ITH",6,"603",1,1996,3,7,1,"F",
0.00,1.00,36924.00,141.00,44.00,0.00,0.00,208.00,53.00,43.00,"US Airways Inc.","US","ELM","PIT",6,"655",1,1996,3,7,1,"F",
0.00,1.00,32824.00,128.00,68.00,0.00,0.00,208.00,42.00,34.00,"US Airways Inc.","US","ELM","PIT",6,"619",1,1996,3,7,1,"F",
